week,units
1,100
2,103
3,106
4,109
5,112
6,115
7,118
8,121
9,124
10,127
11,130
12,133
13,101
14,104
15,107
16,110
17,113
18,116
19,119
20,122
21,125
22,128
23,131
24,134
25,102
26,105
27,108
28,111
29,114
30,117
31,120
32,123
33,126
34,129
35,132
36,135
37,103
38,106
39,109
40,112
41,115
42,118
43,121
44,124
45,127
46,130
47,133
48,136
49,104
50,107
51,110
52,113
53,116
54,119
55,122
56,125
57,128
58,131
59,134
60,137
61,105
62,108
63,111
64,114
65,117
66,120
67,123
68,126
69,129
70,132
71,135
72,138
73,106
74,109
75,112
76,115
77,118
78,121
79,124
80,127
81,130
82,133
83,136
84,139
85,107
86,110
87,113
88,116
89,119
90,122
91,125
92,128
93,131
94,134
95,137
96,140
97,108
98,111
99,114
100,117
101,120
102,123
103,126
104,129
105,132
106,135
107,138
108,141
109,109
110,112
111,115
112,118
113,121
114,124
115,127
116,130
117,133
118,136
119,139
120,142
121,110
122,113
123,116
124,119
125,122
126,125
127,128
128,131
129,134
130,137
131,140
132,143
133,111
134,114
135,117
136,120
137,123
138,126
139,129
140,132
141,135
142,138
143,141
144,144
145,112
146,115
147,118
148,121
149,124
150,127
151,130
152,133
153,136
154,139
155,142
156,145
