batch_id,tool_id,yield_pct,timestamp
LINEB-B001,Tool_1,93.67,2026-01-06 06:00:00
LINEB-B002,Tool_1,94.46,2026-01-06 10:00:00
LINEB-B003,Tool_1,94.84,2026-01-06 14:00:00
LINEB-B004,Tool_1,95.64,2026-01-06 18:00:00
LINEB-B005,Tool_1,93.57,2026-01-06 22:00:00
LINEB-B006,Tool_1,94.09,2026-01-07 02:00:00
LINEB-B007,Tool_1,94.0,2026-01-07 06:00:00
LINEB-B008,Tool_1,94.52,2026-01-07 10:00:00
LINEB-B009,Tool_2,93.43,2026-01-07 14:00:00
LINEB-B010,Tool_2,92.24,2026-01-07 18:00:00
LINEB-B011,Tool_2,93.62,2026-01-07 22:00:00
LINEB-B012,Tool_2,94.89,2026-01-08 02:00:00
LINEB-B013,Tool_2,94.46,2026-01-08 06:00:00
LINEB-B014,Tool_2,93.63,2026-01-08 10:00:00
LINEB-B015,Tool_2,92.23,2026-01-08 14:00:00
LINEB-B016,Tool_2,93.6,2026-01-08 18:00:00
LINEB-B017,Tool_3,88.58,2026-01-08 22:00:00
LINEB-B018,Tool_3,89.66,2026-01-09 02:00:00
LINEB-B019,Tool_3,89.07,2026-01-09 06:00:00
LINEB-B020,Tool_3,90.21,2026-01-09 10:00:00
LINEB-B021,Tool_3,89.03,2026-01-09 14:00:00
LINEB-B022,Tool_3,89.93,2026-01-09 18:00:00
LINEB-B023,Tool_4,94.03,2026-01-09 22:00:00
LINEB-B024,Tool_4,93.15,2026-01-10 02:00:00
LINEB-B025,Tool_4,93.34,2026-01-10 06:00:00
LINEB-B026,Tool_4,94.2,2026-01-10 10:00:00
LINEB-B027,Tool_4,93.78,2026-01-10 14:00:00
LINEB-B028,Tool_4,94.56,2026-01-10 18:00:00
LINEB-B029,Tool_4,94.6,2026-01-10 22:00:00
LINEB-B030,Tool_4,93.63,2026-01-11 02:00:00
