timestamp,rpm,peak_vibration_mm_s,bearing_temp_c,failure_mode
2026-05-28T08:00:00Z,1420,0.90,41.0,normal
2026-05-28T09:00:00Z,1428,1.12,41.6,normal
2026-05-28T10:00:00Z,1436,1.34,42.2,normal
2026-05-28T11:00:00Z,1444,1.56,41.0,normal
2026-05-28T12:00:00Z,1420,1.78,41.6,normal
2026-05-28T13:00:00Z,1428,2.00,42.2,normal
2026-05-28T14:00:00Z,1436,0.90,41.0,normal
2026-05-28T15:00:00Z,1444,1.12,41.6,normal
2026-05-28T16:00:00Z,1420,1.34,42.2,normal
2026-05-28T17:00:00Z,1428,1.56,41.0,normal
2026-05-28T18:00:00Z,1436,1.78,41.6,normal
2026-05-28T19:00:00Z,1444,2.00,42.2,normal
2026-05-28T20:00:00Z,1420,0.90,41.0,normal
2026-05-28T21:00:00Z,1428,1.12,41.6,normal
2026-05-28T22:00:00Z,1436,1.34,42.2,normal
2026-05-28T23:00:00Z,1444,1.56,41.0,normal
2026-05-29T00:00:00Z,1420,1.78,41.6,normal
2026-05-29T01:00:00Z,1428,2.00,42.2,normal
2026-05-29T02:00:00Z,1436,2.22,41.0,normal
2026-05-29T03:00:00Z,1444,2.44,41.6,normal
2026-05-29T04:00:00Z,1420,2.66,42.2,normal
2026-05-29T05:00:00Z,1428,2.78,48.2,normal
2026-05-29T06:00:00Z,1388,4.20,61.4,bearing_wear
